"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005102","signaling receptor binding",1472,2,0.16,1,0.0064,0.0064,0.00135869565217391,"Thy1, Il12b"
"2","MF","GO:0098772","molecular function regulator",1565,2,0.17,2,0.0073,0.0073,0.0012779552715655,"Thy1, Il12b"
"3","MF","GO:0004896","cytokine receptor activity",87,1,0.01,3,0.0095,0.0095,0.0114942528735632,"Il12b"
"4","MF","GO:0019955","cytokine binding",116,1,0.01,4,0.0126,0.0126,0.00862068965517241,"Il12b"
"5","MF","GO:0005178","integrin binding",128,1,0.01,5,0.0139,0.0139,0.0078125,"Thy1"
"6","MF","GO:0008083","growth factor activity",133,1,0.01,6,0.0145,0.0145,0.0075187969924812,"Il12b"
"7","MF","GO:0005125","cytokine activity",155,1,0.02,7,0.0168,0.0168,0.00645161290322581,"Il12b"
"8","MF","GO:0005096","GTPase activator activity",235,1,0.03,8,0.0255,0.0255,0.00425531914893617,"Thy1"
"9","MF","GO:0050839","cell adhesion molecule binding",237,1,0.03,9,0.0257,0.0257,0.00421940928270042,"Thy1"
"10","MF","GO:0035091","phosphatidylinositol binding",247,1,0.03,10,0.0268,0.0268,0.00404858299595142,"Thy1"
"11","MF","GO:0030695","GTPase regulator activity",253,1,0.03,11,0.0274,0.0274,0.00395256916996047,"Thy1"
"12","MF","GO:0005126","cytokine receptor binding",253,1,0.03,12,0.0274,0.0274,0.00395256916996047,"Il12b"
"13","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.03,13,0.0315,0.0315,0.00343642611683849,"Thy1"
"14","MF","GO:0048018","receptor ligand activity",391,1,0.04,14,0.0422,0.0422,0.00255754475703325,"Il12b"
"15","MF","GO:0005543","phospholipid binding",407,1,0.04,15,0.0439,0.0439,0.00245700245700246,"Thy1"
"16","MF","GO:0030545","receptor regulator activity",421,1,0.05,16,0.0454,0.0454,0.00237529691211401,"Il12b"
"17","MF","GO:0008047","enzyme activator activity",436,1,0.05,17,0.047,0.047,0.00229357798165138,"Thy1"
"18","MF","GO:0046982","protein heterodimerization activity",520,1,0.06,18,0.0559,0.0559,0.00192307692307692,"Il12b"
"19","MF","GO:0008289","lipid binding",696,1,0.08,19,0.0745,0.0745,0.0014367816091954,"Thy1"
"20","MF","GO:0019901","protein kinase binding",715,1,0.08,20,0.0765,0.0765,0.0013986013986014,"Thy1"
"21","MF","GO:0019900","kinase binding",791,1,0.09,21,0.0844,0.0844,0.00126422250316056,"Thy1"
"22","MF","GO:0042803","protein homodimerization activity",894,1,0.1,22,0.0951,0.0951,0.00111856823266219,"Il12b"
"23","MF","GO:0030234","enzyme regulator activity",894,1,0.1,23,0.0951,0.0951,0.00111856823266219,"Thy1"
"24","MF","GO:0044877","protein-containing complex binding",1185,1,0.13,24,0.1251,0.1251,0.000843881856540084,"Thy1"
"25","MF","GO:0046983","protein dimerization activity",1311,1,0.14,26,0.1379,0.1379,0.0007627765064836,"Il12b"
"26","MF","GO:0042802","identical protein binding",1795,1,0.2,29,0.1862,0.1862,0.000557103064066852,"Il12b"
"27","MF","GO:0097367","carbohydrate derivative binding",2036,1,0.22,31,0.2098,0.2098,0.000491159135559921,"Thy1"
"28","MF","GO:0019899","enzyme binding",2238,1,0.24,32,0.2292,0.2292,0.000446827524575514,"Thy1"
"29","MF","GO:0043168","anion binding",2593,1,0.28,33,0.2628,0.2628,0.000385653682992673,"Thy1"
"30","MF","GO:0043167","ion binding",5224,1,0.57,35,0.4886,0.4886,0.000191424196018377,"Thy1"
"31","MF","GO:0005488","binding",11858,2,1.29,34,1,0.4182,0.000168662506324844,"Thy1, Il12b"
"32","MF","GO:0003674","molecular_function",18336,2,2,36,1,1,0.000109075043630017,"Thy1, Il12b"
"33","MF","GO:0005515","protein binding",8273,2,0.9,30,1,0.2036,0.000241750271969056,"Thy1, Il12b"
"34","MF","GO:0060089","molecular transducer activity",1432,1,0.16,28,1,0.1501,0.000698324022346369,"Il12b"
"35","MF","GO:0038023","signaling receptor activity",1383,1,0.15,27,1,0.1452,0.000723065798987708,"Il12b"
"36","MF","GO:0004888","transmembrane signaling receptor activit...",1212,1,0.13,25,1,0.1278,0.000825082508250825,"Il12b"
